award_id,contract_description,auto_match_eis_title,auto_match_score,confirmed_eis_title,notes
NRCHQ5015T0004,IGF::OT::IGF TECHNICAL ASSISTANCE FOR THE COMPLETION OF THE SUPPLEMENTAL ENVIRONMENTAL IMPACT STATEMENTS (SEIS) FOR THE ,Lost Creek In-Situ Uranium Recovery (ISR) Project Proposal to Construct Operate Conduct Aquifer Restoration and Decommis,0.46,,
0172,IGF::OT::IGF  4PAE08 FOR AN ENVIRONMENTAL IMPACT STATEMENT FOR THE ENHANCED POWDER RIVER TRAINING COMPLEX(PRTC) 28TH BOM,"Powder River Training Complex Ellsworth Air Force Base, South Dakota",0.38,,
DEAD6507WJ76462,"ENVIRONMENTAL IMPACT STATEMENT FOR THE GRANBY PUMPING PLANT TO WINDY GAP TRANSMISSION LINE, COLORADO",Energia Sierra Juarez U.S. Transmission Line Project,0.35,,
W912P716C0014,IGF::OT::IGF  FUNDING FOR LINE ITEM 0001   SAN FRANCISQUITO CREEK FLOOD RISK MANAGEMENT STUDY INTEGRATED ENVIRONMENTAL I,South Central Coast Louisiana Flood Risk Management Feasibility Study,0.43,,
INP10PD75694,WATER RESOURCES MANAGEMENT PLAN & ENVIRONMENTAL IMPACT STATEMENT FOR MOJAVE NATIONAL PRESERVE.,South Florida and Caribbean Parks Exotic Plant Management Plan Manage and Control Exotic Plants in Nine Parks Five in So,0.43,,
INF13PD00529,IGF::OT::IGF MEXICAN GRAY WOLF ENVIRONMENTAL ASSESSMENT AND ENVIRONMENTAL IMPACT STATEMENT IN ACCORDANCE WITH NEPA,Revision to the Regulations for the Nonessential Experimental Population of the Mexican Wolf (Canis lupus baileyi),0.39,,
GSP0903KT0118,"SUPPLEMENTAL A/E SERVICES, ""ENVIRONMENTAL IMPACT STATEMENT"", BORDER STATION, ANDRADE, CA",International Falls Land Port of Entry Improvements Study Proposes to Replace the Existing Land Port of Entry Minnesota ,0.43,,
EP0001,"NPDES PERMIT DEVELOPMENT, ENVIRONMENTAL IMPACT STATEMENT, ENDANGERED SPECIES ACT CONSULTATION, AND ESSENTIAL FISH HABITA",Jepson Parkway Project Proposes to Upgrade and Link a Series of Existing Two and Four-Lane Roadways Right-of-Way Endange,0.40,,
W912P718F0034,TECHNICAL SUPPORT SERVICES FOR COMPONENT PORTIONS OF THE INTEGRATED FEASIBILITY STUDY AND ENVIRONMENTAL IMPACT STATEMENT,Tampa Harbor Navigation Improvement Study  Integrated General Reevaluation Report and Environmental Impact Statement,0.46,,
140L0621F0476,COORDINATION AND COMPLETION SERVICES SUPPORTING THE BUREAU OF LAND MANAGEMENT (BLM) ENVIRONMENTAL IMPACT STATEMENT (EIS),Vegetation Treatments Using Herbicides on Bureau of Land Management (BLM) Lands in Oregon Implementation OR,0.41,,
DTOS5905F10139,PROVIDE AN ENVIRONMENTAL IMPACT STATEMENT (EIS) FOR VARIOUS RAIL ALIGNMENTS WITHIN THE CALIENTE RAIL CORRIDOR.,LYNX - Blue Line Extension Northeast Corridor Light Rail Project Proposed Light Rail Extension from Center City Charlott,0.43,,
GSP0312DX5024,AMERICAN REINVESTMENT AND RECOVERY ACT (ARRA) ENVIRONMENTAL CONSULTING SERVICES TO INCORPORATE LRA PARCEL 10 INTO THE OV,U.S. Department of State Foreign Affairs Security Training Center,0.39,,
DOCWC133F12BA0019C0001,IGF::OT::IGF TO PROVIDE SUPPORT TO NOAA AND THE PORTLAND HARBOR NATURAL RESOURCE TRUSTEE IN PUBLIC INVOLVEMENT AND THE D,Programmatic - Portland Harbor Restoration Plan,0.35,,
INM06PD00036,ASSISTANCE IN COMPLETING THE ATLANTIC ENVIRONMENTAL IMPACT STATEMENT,PROGRAMMATIC - Geological and Geophysical Activities in Federal Waters of the Mid- and South Atlantic Outer Continental ,0.43,,
INF15PD00157,"""""IGF::OT::IGF"""" ENVIRONMENTAL IMPACT STATEMENT - EAGLE RULE REVISION PROJECT, R9 HQ, DIVISION OF MIGRATORY BIRD MANAGEM",PROGRAMMATIC - Eagle Rule Revision,0.47,,
W912HQ22F0250,INDEPENDENT EXTERNAL PEER REVIEW (IEPR) FOR THE WILLAMETTE VALLEY SYSTEM OPERATIONS AND MAINTENANCE PROGRAMMATIC ENVIRON,Willamette Valley System Operations and Maintenance,0.48,,
NRCT026,TECHNICAL ASSISTANCE FOR DEVELOPMENT OF A FINAL ENVIRONMENTAL IMPACT STATEMENT FOR THE INTERNATIONAL ISOTOPES DEPLETED U,Fluorine Extraction Process and Depleted Uranium Deconversion Plant License Application to Construct Operate and Decommi,0.35,,
47PK0119F0009,CHET HOLIFIELD-LAGUNA NIGUEL EIS ENVIRONMENTAL IMPACT STATEMENT TO ADDRESS IMPACTS FROM AND TO THE CURRENT PROPOSED FEDE,"Chet Holifield Federal Building in Laguna Niguel, California",0.41,,
140L0620F0400,BLM ENVIRONMENTAL IMPACT STATEMENT (EIS) INTERNAL CONTROL REVIEW (ICR)SERVICES,Vegetation Treatments Using Herbicides on Bureau of Land Management (BLM) Lands in Oregon Implementation OR,0.35,,
INL17PB00607,"PLAN AMENDMENT ENVIRONMENTAL IMPACT STATEMENT, BUREAU OF LAND MANAGEMENT NEVADA, SOUTHERN NEVADA DISTRICT OFFICE  IGF::O",Vegetation Treatments Using Herbicides on Bureau of Land Management (BLM) Lands in Oregon Implementation OR,0.43,,
NNM17CH53T,IGF::OT::IGF CH653 SANTA SUSANA FIELD LABORATORY (SSFL) DEPARTMENT OF ENERGY (DOE) ENVIRONMENTAL IMPACT STATEMENT (EIS) ,Proposed Demolition and Environmental Cleanup Activities at Santa Susana Field Laboratory,0.35,,
NRCHQ13T030004,IGF::OT::IGF TECHNICAL EDITING ASSISTANCE FOR LICENSE RENEWAL SUPPLEMENTAL ENVIRONMENTAL IMPACT STATEMENT AND SAFETY EVA,Generic - License Renewal of Nuclear Plants Supplement 51 Regarding Callaway Plant Unit 1,0.41,,
AG0256P080008,FACILITATION OF IDT MEETINGS AND DOCUMENT PREPARATION FOR BIGHORN SHEEP VIABILITY SUPPLEMENTAL ENVIRONMENTAL IMPACT STAT,Planning and Management of Domestic Sheep and Goat Grazing within the Range of Bighorn Sheep,0.39,,
INPA2030100081,"GENERAL MANAGEMENT PLAN AMENDMENT/ENVIRONMENTAL IMPACT STATEMENT, TRANSPORTATION DATA & VISITOR PROJECTION ANALYSIS GATE",Brooks River Visitor Access Katmai National Park and Preserve AK,0.37,,
DY10,IGF::OT::IGF CT::SWG::CT - TASK ORDER FOR ASSISTANCE WITH PREPARATION OF DRAFT INTEGRATED FEASIBILITY REPORT/ENVIRONMENT,City of Norfolk Coastal Storm Risk Management Feasibility Study,0.41,,
AG3187D090206,TASK ORDER FOR CONTENT ANALYSIS OF PUBLIC COMMENTS ON NOA FOR BRIDGER-TETON NF. OIL AND GAS LEASING SUPPLEMENTAL ENVIRON,Uinta National Forest Oil and Gas Leasing Implementation Identify National Forest Systems Lands with Federal Mineral Rig,0.43,,
AG3187D080150,CONTRACT FOR CONTENT ANALYSIS OF PUBLIC COMMENTS ON NOI FOR BRIDGER-TETON NF OIL AND GAS LEASING SUPPLEMENTAL ENVIRONMEN,Uinta National Forest Oil and Gas Leasing Implementation Identify National Forest Systems Lands with Federal Mineral Rig,0.43,,
DTRT5705P80148,ENVIRONMENTAL ANALYSIS METHODOLOGY DEVELOPMENT & PRELIMINARY DRAFT PROGRAMMATIC ENVIRONMENTAL IMPACT STATEMENT REVIEW,Interstate 395 (I-395) Development and Environment Study Project From I-95 to West Channel Bridges of the MacArthur Caus,0.43,,
NRCHQ2016T0004,"IGF::OT::IGF TECHNICAL EDITING ASSISTANCE FOR NORTH WEST MEDICAL, MEDICAL ISOTOPE PRODUCTION FACILITY ENVIRONMENTAL IMPA","Construction Permit for the SHINE Medical Radioisotope Production Facility, Final Report, NUREG-2183",0.43,,
INP08PX76023,DEVELOPMENT OF A GENERAL MANAGEMENT PLAN AND ENVIRONMENTAL IMPACT STATEMENT FOR THE AFRICAN GURIAL GROUND NATIONAL MONUM,Effigy Mounds National Monument General Management Plan,0.43,,
INP14PD00499,"IGF::OT::IGF SOCIOECONOMIC SUPPORT FOR THE MOOSE-WILSON ROAD CORRIDOR MANAGEMENT PLAN / ENVIRONMENTAL IMPACT STATEMENT, ",Jackson Hole Airport Use Agreement Extension Project To Enable Continued Air Transportation Services Grand Teton Nationa,0.40,,
